,DEPARTAMENTO,PROVINCIA,DISTRITO,Ollanta1,Ollanta2,key,redpub_porc,dni_porc,elec_porc,salud_porc,edu_porc,trabajo_porc,Ollanta_1a_Vuelta,Ollanta_2a_Vuelta,estado_dni,estado_salud,estado_agua,estado_electricidad,ciudadania_educacion,ciudadania_trabajo,presencia_estado
829,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,0.26877470355731226,0.4227941176470588,CASTROVIRREYNA_HUAMATAMBO,0.0,93.0909090909091,36.74698795180723,41.61073825503356,32.860520094562645,7.569721115537849,<50%,<50%,3,2,1,2,25_50%,<25%,1.Baja
830,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,0.5553398058252427,0.6666666666666666,CASTROVIRREYNA_MOLLEPAMPA,3.3860045146726865,96.56357388316151,17.607223476297968,51.54838709677419,33.21964529331514,11.061946902654867,Mas50%,Mas50%,3,2,1,1,25_50%,<25%,1.Baja
831,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,0.4175824175824176,0.6013071895424836,CASTROVIRREYNA_SAN JUAN,0.0,97.33333333333334,30.0,38.70967741935484,34.31542461005199,8.411214953271028,<50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
832,HUANCAVELICA,CASTROVIRREYNA,TANTARA,0.1761006289308176,0.439918533604888,CASTROVIRREYNA_TANTARA,46.82539682539682,97.2972972972973,58.730158730158735,47.69230769230769,43.82632293080054,23.605150214592275,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
833,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,0.4118873826903024,0.5669599217986315,CASTROVIRREYNA_TICRAPO,35.87360594795539,96.78571428571429,52.60223048327137,40.222841225626745,40.17751479289941,20.198675496688743,<50%,Mas50%,3,2,2,2,25_50%,<25%,2.Media
834,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,0.48066298342541436,0.6579804560260586,CASTROVIRREYNA_SANTA ANA,0.0,99.57882069795427,45.75936883629191,66.66666666666666,55.45122587376109,13.874345549738221,<50%,Mas50%,3,2,1,2,mas50%,<25%,1.Baja
835,HUANCAVELICA,TAYACAJA,PAMPAS,0.5457463884430177,0.7477683205314511,TAYACAJA_PAMPAS,57.68903993203058,97.19062392278525,83.64485981308411,37.748161764705884,34.144904771254666,17.678381256656017,Mas50%,Mas50%,3,2,2,3,25_50%,<25%,2.Media
836,HUANCAVELICA,TAYACAJA,ACOSTAMBO,0.7043774872086412,0.7747016706443914,TAYACAJA_ACOSTAMBO,29.613733905579398,95.68285595682856,46.437768240343345,45.250165307471896,25.41686517389233,2.1243115656963023,Mas50%,mas75%,3,2,2,2,25_50%,<25%,2.Media
837,HUANCAVELICA,TAYACAJA,ACRAQUIA,0.6692506459948321,0.7861721611721612,TAYACAJA_ACRAQUIA,0.22205773501110287,98.62676056338027,66.54330125832718,41.745147030559295,29.99796623957698,3.6742192284139623,Mas50%,mas75%,3,2,1,2,25_50%,<25%,1.Baja
838,HUANCAVELICA,TAYACAJA,AHUAYCHA,0.5833333333333334,0.73642081189251,TAYACAJA_AHUAYCHA,1.8151815181518154,97.8859947149868,76.07260726072607,45.011511895625475,26.813231970412986,4.823151125401929,Mas50%,Mas50%,3,2,1,3,25_50%,<25%,2.Media
